DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
16-Jul-19,BONGO FURY,2,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BLGRDOT,9
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BRBLKCRST,9
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSQ,4
16-Jul-19,BONGO FURY,2,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSQ,2
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,POWDER,WHPDR,6
16-Jul-19,BONGO FURY,2,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,POWDER,WHPDR,6
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,2,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,UMB,ROCKTRP,2
16-Jul-19,BONGO FURY,2,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,M,,Dic_montanum,6
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,M,,Pol_commune,5
16-Jul-19,BONGO FURY,2,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,P,,Sel_tortipila,6
16-Jul-19,BONGO FURY,3,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,CRUST,BRBLKBDR,9
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,CRUST,BRBLKBDR,7
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,CRUST,BRBLKCRST,6
16-Jul-19,BONGO FURY,3,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,CRUST,BRBLKCRST,4
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,CRUST,BLGRDOT,2
16-Jul-19,BONGO FURY,3,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,FRUIT,CLADPIX,1
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,POWDER,WHPDR,6
16-Jul-19,BONGO FURY,3,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,POWDER,WHPDR,6
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,POWDER,GRNPDR,1
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,3,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,3,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,M,,Leu_albidum,1
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,CRUST,BRBLKBDR,9
16-Jul-19,BONGO FURY,4,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,CRUST,BRBLKBDR,9
